time,action,side,price,pnl,equity,reason
2026-05-09 22:00:00+00:00,LONG,LONG,80735.57,0.0,10000.0,"BULL: EMA20>EMA50, SuperTrend up, composite=0.16, vol=0.58x | size=25.0% (conf=8"
2026-05-10 15:00:00+00:00,CLOSE,LONG,81355.86,17.21,10017.21,take_profit
2026-05-11 00:00:00+00:00,LONG,LONG,81437.94,0.0,10017.21,"BULL: EMA20>EMA50, SuperTrend up, composite=0.39, vol=2.22x | size=25.0% (conf=8"
2026-05-12 15:00:00+00:00,CLOSE,LONG,80292.07,-37.24,9979.97,stop
2026-05-14 23:00:00+00:00,LONG,LONG,81064.71,0.0,9979.97,"BULL: EMA20>EMA50, SuperTrend up, composite=0.36, vol=0.45x | size=25.0% (conf=8"
2026-05-15 13:00:00+00:00,CLOSE,LONG,78723.63,-74.05,9905.92,stop
2026-05-15 18:00:00+00:00,SHORT,SHORT,79243.07,0.0,9905.92,"BEAR: EMA20<EMA50, SuperTrend down, composite=-0.14, vol=0.75x | size=25.0% (con"
2026-05-17 01:00:00+00:00,CLOSE,SHORT,77710.27,45.92,9951.84,take_profit
2026-05-17 02:00:00+00:00,SHORT,SHORT,77862.31,0.0,9951.84,"BEAR: EMA20<EMA50, SuperTrend down, composite=-0.05, vol=0.71x | size=25.0% (con"
2026-05-17 10:00:00+00:00,CLOSE,SHORT,78441.34,-20.49,9931.35,stop
2026-05-18 00:00:00+00:00,LONG,LONG,77187.92,0.0,9931.35,"RANGE: RSI oversold (22.6), VWAP z=-2.4, mean reversion long | size=25.0% (conf="
2026-05-18 03:00:00+00:00,CLOSE,LONG,76901.51,-11.2,9920.15,regime_flip
2026-05-18 13:00:00+00:00,SHORT,SHORT,76912.31,0.0,9920.15,"BEAR: EMA20<EMA50, SuperTrend down, composite=0.02, vol=1.75x | size=25.0% (conf"
2026-05-21 00:00:00+00:00,CLOSE,SHORT,77931.69,-34.85,9885.29,stop
2026-05-21 14:00:00+00:00,LONG,LONG,76957.69,0.0,9885.29,"RANGE: RSI oversold (27.8), VWAP z=-1.9, mean reversion long | size=25.0% (conf="
2026-05-21 17:00:00+00:00,CLOSE,LONG,77827.22,25.95,9911.24,take_profit
2026-05-24 08:00:00+00:00,LONG,LONG,76800.58,0.0,9911.24,"BULL: EMA20>EMA50, SuperTrend up, composite=0.13, vol=0.22x | size=25.0% (conf=9"
2026-05-26 17:00:00+00:00,CLOSE,LONG,75892.61,-31.28,9879.96,stop
2026-05-27 00:00:00+00:00,LONG,LONG,76057.6,0.0,9879.96,"RANGE: RSI oversold (26.4), VWAP z=-1.3, mean reversion long | size=25.0% (conf="
2026-05-27 13:00:00+00:00,CLOSE,LONG,75048.39,-34.75,9845.21,stop
2026-05-31 05:00:00+00:00,LONG,LONG,74028.7,0.0,9845.21,"BULL: EMA20>EMA50, SuperTrend up, composite=-0.00, vol=0.50x | size=25.0% (conf="
2026-05-31 14:00:00+00:00,CLOSE,LONG,73567.44,-17.3,9827.91,stop
2026-06-03 04:00:00+00:00,SHORT,SHORT,66432.16,0.0,9827.91,"BEAR: EMA20<EMA50, SuperTrend down, composite=0.03, vol=0.94x | size=25.0% (conf"
2026-06-03 23:00:00+00:00,CLOSE,SHORT,64125.01,83.36,9911.27,take_profit
2026-06-04 03:00:00+00:00,SHORT,SHORT,64322.07,0.0,9911.27,"BEAR: EMA20<EMA50, SuperTrend down, composite=-0.13, vol=1.34x | size=23.3% (con"
2026-06-05 13:00:00+00:00,CLOSE,SHORT,60706.07,127.8,10039.07,take_profit
2026-06-07 16:00:00+00:00,LONG,LONG,62059.51,0.0,10039.07,"BULL: EMA20>EMA50, SuperTrend up, composite=-0.03, vol=0.65x | size=25.0% (conf="
2026-06-08 00:00:00+00:00,CLOSE,LONG,63600.34,60.31,10099.38,take_profit
